Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2013-06-07,Lucknow,23.3,34.4,9.9,11.5,4.0,N,36,S,SW,13,19,99,44,1011.1,1006.7,1,6,24.9,27.1,Yes,No
2015-11-19,Ahmedabad,15.0,22.7,9.5,14.9,9.5,SE,50,NE,WSW,7,6,87,81,1007.3,1014.2,3,4,18.1,17.1,Yes,No
2032-06-12,Mumbai,27.6,36.2,11.9,11.4,8.2,SSW,33,ENE,SSW,10,10,76,84,1011.9,1005.9,7,1,36.0,31.8,Yes,Yes
2028-05-22,Kolkata,18.2,28.9,2.1,2.7,6.6,E,28,SW,NNW,11,19,96,66,1020.3,1016.6,6,6,21.0,22.4,Yes,Yes
2009-07-11,Delhi,18.9,31.6,12.5,2.7,4.5,W,34,SE,SE,19,13,69,32,1010.5,1006.5,4,0,29.7,30.8,Yes,Yes
2032-04-27,Lucknow,11.9,26.7,10.0,NA,10.7,E,36,NE,N,10,12,55,71,1018.5,1011.8,7,3,22.8,26.5,Yes,Yes
2021-02-03,Lucknow,16.8,22.3,15.0,NA,9.3,ENE,42,SSE,N,17,17,98,70,1005.1,1022.2,4,4,20.1,20.6,Yes,Yes
2021-10-12,Bangalore,23.8,28.9,17.2,NA,1.4,WNW,47,E,NNE,19,13,100,79,1005.7,1005.5,4,3,25.8,28.7,Yes,Yes
2025-03-14,Pune,14.2,19.8,15.5,0.4,3.4,WNW,34,S,ENE,18,16,92,85,1024.1,1011.0,NA,7,18.0,15.7,Yes,No
2019-07-10,Hyderabad,20.5,35.4,14.8,2.7,5.4,NNW,29,NNE,SW,5,10,68,68,1010.4,1009.1,1,NA,33.1,33.2,Yes,No
2010-05-25,Bangalore,27.0,37.3,18.9,1.3,5.2,S,38,W,WSW,18,10,77,72,1011.1,1022.0,1,4,34.6,27.5,Yes,Yes
2028-10-17,Jaipur,19.6,30.3,4.6,NA,NA,ENE,45,WNW,N,14,8,92,49,1016.1,1005.9,8,NA,21.0,20.7,Yes,Yes
2034-08-07,Lucknow,19.7,30.9,1.8,10.5,8.6,NE,26,SE,NE,12,7,81,46,1011.4,1021.5,5,6,26.9,21.2,Yes,No
2022-09-16,Delhi,26.9,35.2,17.9,NA,NA,WNW,20,E,ESE,11,9,87,36,1017.8,1017.6,3,NA,33.2,27.6,Yes,No
2016-06-18,Hyderabad,11.1,21.7,7.1,NA,1.2,ESE,43,NE,SW,13,19,69,80,1019.5,1005.8,8,4,14.0,21.2,Yes,No
2013-05-23,Lucknow,20.7,29.4,14.7,8.6,9.6,NE,25,ENE,ESE,6,18,61,69,1015.0,1021.8,2,5,22.5,25.4,Yes,Yes
2016-02-28,Lucknow,25.5,33.3,6.2,9.7,2.8,E,44,WSW,WNW,5,9,58,81,1023.0,1015.3,8,2,29.6,27.7,Yes,Yes
2030-08-11,Chennai,19.6,29.7,16.7,NA,6.8,S,42,S,N,10,13,95,63,1008.3,1020.1,8,0,25.3,20.7,Yes,No
2027-08-07,Pune,10.4,17.4,4.3,5.8,NA,W,46,S,NW,10,19,77,84,1010.1,1016.1,8,7,15.1,10.8,Yes,No
2030-05-29,Kolkata,24.1,32.5,8.9,12.5,1.4,NE,30,SE,SSE,19,9,95,58,1012.0,1008.8,NA,NA,30.2,27.1,Yes,Yes
2021-03-21,Mumbai,13.7,25.7,7.2,0.6,NA,WNW,31,ENE,E,17,5,68,67,1014.8,1007.5,5,3,22.2,18.2,Yes,No
2031-12-26,Kolkata,15.3,21.8,6.9,10.5,NA,SSW,50,SW,NW,11,18,97,72,1020.4,1009.6,7,6,21.5,21.7,Yes,No
2008-03-18,Hyderabad,12.3,26.8,15.7,8.9,5.3,SE,35,E,W,7,13,92,80,1023.7,1021.4,NA,5,25.7,15.0,Yes,No
2011-09-18,Jaipur,22.7,33.6,16.9,5.3,NA,SSE,38,NE,SW,20,11,81,60,1011.2,1005.2,7,0,23.7,29.9,Yes,Yes
2026-11-20,Chennai,16.5,29.8,16.5,6.5,NA,SSW,27,WNW,N,20,11,95,33,1005.6,1007.5,3,NA,28.3,27.8,Yes,No
2009-02-02,Mumbai,21.2,35.6,16.7,6.6,5.5,NNW,32,WSW,WSW,15,20,55,77,1007.7,1009.7,NA,6,28.7,22.7,Yes,No
2025-03-19,Ahmedabad,25.2,34.4,14.6,9.8,5.2,NW,44,SW,SSE,9,7,81,80,1008.3,1013.2,NA,NA,31.2,28.2,Yes,No
2027-05-26,Ahmedabad,19.4,28.6,17.4,9.0,3.0,S,28,SW,S,16,6,99,90,1006.6,1012.3,5,2,25.5,23.1,Yes,No
2013-05-17,Mumbai,14.2,28.4,1.7,4.6,1.3,N,25,NE,SSW,17,15,99,75,1013.6,1005.2,2,NA,21.0,24.9,Yes,No
2028-03-25,Jaipur,27.3,36.9,8.7,5.3,NA,NNW,20,NW,WNW,9,6,60,54,1018.3,1008.9,NA,7,28.8,33.9,Yes,No
2030-12-21,Bangalore,11.5,19.0,12.3,14.3,NA,NE,46,SW,SSE,6,8,65,72,1005.0,1007.7,8,1,17.0,13.2,Yes,Yes
2025-05-19,Delhi,27.1,35.9,17.1,NA,5.9,NW,33,SE,NNE,20,19,90,56,1021.0,1020.9,1,7,34.4,32.4,Yes,No
2023-12-31,Chennai,23.6,28.9,6.9,1.6,8.0,ENE,43,N,NW,15,5,86,30,1010.9,1024.1,2,4,26.9,28.6,Yes,No
2016-07-07,Pune,13.3,27.8,15.0,7.0,2.7,NNW,45,WSW,SE,14,16,83,65,1016.1,1012.6,NA,7,24.1,16.1,Yes,No
2017-03-22,Lucknow,22.5,27.9,12.9,NA,NA,SSE,37,SSW,SW,9,11,76,39,1021.1,1013.2,8,8,23.6,26.0,Yes,No
2009-07-10,Mumbai,13.7,22.8,9.0,14.1,11.3,SSE,29,W,N,12,15,67,79,1019.8,1012.4,NA,1,21.0,19.2,Yes,No
2034-02-19,Bangalore,20.3,30.2,7.0,7.1,2.2,SSE,42,S,E,17,13,89,81,1019.1,1015.1,2,1,21.6,23.6,Yes,Yes
2009-11-11,Hyderabad,10.9,24.6,6.2,14.8,NA,SE,47,S,NNW,13,6,65,83,1011.5,1007.0,NA,7,16.0,11.7,Yes,No
2011-05-10,Mumbai,20.4,27.6,1.5,NA,0.2,WNW,31,W,N,14,11,80,43,1016.6,1006.2,0,3,20.6,25.4,Yes,Yes
2024-01-21,Kolkata,23.9,33.1,5.6,NA,10.6,SW,46,W,SW,14,17,85,69,1019.5,1021.6,NA,NA,32.0,24.1,Yes,Yes
2016-03-22,Mumbai,16.8,21.9,10.1,NA,2.7,N,43,WSW,NW,6,16,68,32,1007.4,1024.0,4,5,21.2,17.1,Yes,Yes
2034-03-20,Bangalore,23.6,30.5,8.7,12.3,4.0,ESE,26,SW,E,14,9,74,51,1024.9,1015.0,4,7,25.9,25.1,Yes,Yes
2010-11-06,Hyderabad,19.2,30.2,2.1,5.9,5.0,NE,36,NE,ESE,5,9,57,51,1020.6,1018.5,6,NA,20.2,21.3,Yes,Yes
2020-11-04,Jaipur,14.8,21.0,18.1,7.9,0.3,SSW,45,SE,SW,12,18,84,75,1018.9,1013.7,NA,NA,16.1,18.4,Yes,Yes
2024-06-23,Pune,14.0,22.8,4.2,11.8,7.7,WNW,38,NE,S,17,19,71,36,1010.0,1015.3,6,0,15.0,19.2,Yes,Yes
2022-07-01,Lucknow,20.1,34.4,18.5,NA,2.2,WSW,45,NW,ENE,20,11,97,45,1017.5,1017.0,NA,7,32.8,24.7,Yes,No
2034-06-28,Kolkata,24.3,38.9,11.7,NA,3.9,ESE,25,ENE,WSW,16,5,99,65,1009.6,1019.6,NA,5,35.5,37.5,Yes,No
2019-09-15,Hyderabad,23.1,30.8,4.6,8.6,9.0,ESE,30,SW,NNW,8,6,61,79,1021.5,1017.1,NA,3,27.2,26.2,Yes,Yes
2016-11-27,Lucknow,28.8,37.4,17.6,8.5,11.2,WNW,48,S,WSW,16,15,72,62,1013.6,1023.1,7,8,30.4,29.2,Yes,No
2010-08-20,Ahmedabad,19.8,32.1,1.5,12.6,9.9,S,46,N,SSE,12,17,56,49,1017.6,1013.7,NA,8,28.6,22.1,Yes,No
2014-01-21,Hyderabad,19.1,34.1,10.9,12.9,NA,NE,46,ESE,W,10,10,97,83,1021.9,1010.9,3,0,25.9,30.7,Yes,No
2024-12-31,Lucknow,11.4,19.5,8.4,NA,NA,S,41,ESE,E,18,10,72,62,1014.6,1006.8,4,5,15.8,12.2,Yes,No
2031-05-17,Jaipur,28.0,35.3,8.4,14.5,9.5,NNW,27,WNW,WNW,16,5,79,49,1019.1,1015.8,NA,3,29.2,31.8,Yes,Yes
2012-04-21,Ahmedabad,13.4,25.3,16.9,NA,6.7,WNW,29,WSW,SE,17,12,85,44,1008.9,1019.4,6,2,23.6,22.5,Yes,Yes
2011-09-28,Ahmedabad,13.2,20.8,16.7,14.4,5.4,NE,47,SE,SE,17,6,58,33,1024.3,1006.2,6,8,18.2,13.6,Yes,No
2008-08-24,Ahmedabad,20.1,26.1,15.2,NA,7.8,W,34,NNE,ESE,20,5,78,32,1023.1,1023.9,3,NA,24.4,22.9,Yes,No
2023-05-16,Mumbai,20.9,29.5,12.1,2.9,4.4,W,28,N,W,20,18,75,68,1014.3,1023.4,5,4,24.8,27.1,Yes,Yes
2016-05-06,Delhi,21.8,33.7,1.7,NA,3.6,NE,36,SW,W,16,15,63,88,1016.0,1008.7,6,8,22.3,24.0,Yes,Yes
2020-10-06,Pune,13.4,26.7,14.7,12.2,10.4,NW,30,SSW,ENE,13,16,86,32,1011.9,1009.3,4,1,21.4,17.4,Yes,Yes
2021-06-29,Delhi,11.7,26.4,5.5,1.9,5.8,SSE,24,NNW,WNW,7,11,74,58,1016.7,1010.3,NA,6,15.6,24.9,Yes,No
2018-07-30,Delhi,12.4,21.1,18.4,NA,NA,N,30,ENE,S,18,19,73,72,1015.5,1017.1,NA,NA,12.6,16.2,Yes,No
2009-12-30,Hyderabad,22.5,35.5,5.8,13.8,11.6,N,31,SW,WSW,9,16,100,45,1009.9,1013.1,4,5,30.8,26.3,Yes,Yes
2012-05-08,Lucknow,13.4,20.4,1.0,14.8,NA,NNW,33,E,NNE,7,11,74,73,1021.2,1012.7,1,NA,14.6,18.1,Yes,Yes
2017-12-26,Ahmedabad,15.9,24.6,10.7,0.9,2.2,NE,32,S,WNW,12,19,99,38,1013.6,1017.8,7,4,22.0,18.5,Yes,No
2019-01-03,Jaipur,20.4,30.0,18.7,10.1,8.3,NE,35,S,NNW,12,11,60,81,1019.0,1020.3,NA,NA,26.1,27.5,Yes,Yes
2024-08-28,Chennai,11.3,19.2,16.7,11.0,7.7,SSW,49,SW,SSW,14,20,75,43,1012.8,1014.6,NA,4,18.5,13.3,Yes,No
2008-06-12,Delhi,18.1,23.1,12.0,NA,4.1,WNW,32,SSW,SSW,11,20,100,43,1011.9,1022.2,NA,6,19.8,18.4,Yes,No
2016-09-10,Hyderabad,27.5,42.0,18.7,NA,10.5,NNE,31,NNE,SSE,20,8,91,67,1024.8,1020.6,4,4,37.7,41.8,Yes,No
2008-06-06,Hyderabad,25.7,33.2,18.9,NA,10.1,SW,34,NNW,ESE,12,15,83,37,1013.8,1024.4,0,NA,29.0,26.5,Yes,Yes
2017-01-13,Kolkata,28.1,40.9,0.6,10.5,3.3,ENE,38,W,SE,13,12,77,45,1024.6,1005.9,3,NA,29.8,29.5,Yes,No
2022-10-02,Mumbai,27.4,39.8,1.5,5.7,6.4,NNE,32,S,ENE,20,18,75,74,1008.0,1017.3,5,7,33.7,28.2,Yes,Yes
2011-01-09,Ahmedabad,19.3,32.6,2.3,5.1,10.5,NNW,24,NE,NW,5,8,59,65,1015.0,1015.1,0,NA,27.7,20.9,Yes,Yes
2011-11-25,Hyderabad,13.2,23.8,18.4,6.0,4.8,NE,34,W,WNW,16,16,88,89,1010.0,1020.6,1,0,20.8,17.5,Yes,No
2028-09-14,Delhi,14.2,22.3,18.9,5.1,1.4,E,41,NNW,SW,10,7,66,30,1014.2,1009.5,2,0,19.8,19.7,Yes,No
2012-07-12,Lucknow,13.6,26.2,6.3,0.4,6.3,SW,42,ENE,E,9,11,52,57,1009.6,1019.4,7,4,19.8,21.9,Yes,No
2032-08-10,Delhi,23.6,38.6,1.8,2.7,8.5,NNW,30,S,SSE,11,16,77,80,1006.9,1012.6,0,2,28.1,32.3,Yes,No
2009-05-28,Hyderabad,15.1,30.0,0.4,10.3,2.6,SSE,37,NNW,S,11,6,93,70,1024.7,1005.6,5,1,16.1,28.5,Yes,Yes
2027-01-15,Hyderabad,24.4,30.8,5.5,1.4,9.5,NNW,24,SSW,NE,10,17,79,51,1017.3,1017.8,0,8,29.0,28.7,Yes,No
2012-07-03,Kolkata,12.8,19.7,1.7,0.9,0.7,NNE,32,N,ESE,12,13,65,77,1005.2,1014.3,NA,3,17.7,19.3,Yes,No
2008-01-16,Kolkata,26.3,32.4,1.8,3.3,0.8,SSW,20,WSW,S,19,15,64,68,1010.6,1015.1,NA,6,31.6,29.6,Yes,No
2014-08-24,Kolkata,19.1,31.0,7.2,12.0,8.8,NW,31,NNE,SSW,18,13,89,44,1018.1,1021.4,1,3,28.2,21.4,Yes,No
2030-02-05,Pune,14.1,24.8,5.4,8.2,7.6,W,50,WSW,SW,18,8,61,68,1024.2,1010.0,2,5,22.6,14.2,Yes,Yes
2008-02-12,Chennai,12.4,18.2,18.5,4.6,8.4,WSW,26,W,ENE,19,20,93,90,1017.1,1010.9,NA,6,15.3,17.8,Yes,No
2008-09-04,Lucknow,13.9,28.2,6.7,8.3,8.6,NNE,33,ENE,WSW,19,20,57,42,1011.5,1015.5,2,NA,21.6,20.1,Yes,Yes
2008-03-27,Bangalore,17.6,29.8,19.0,2.5,NA,E,36,WSW,NW,9,19,58,58,1017.3,1007.8,1,5,23.5,21.4,Yes,No
2020-02-19,Kolkata,26.5,37.6,1.4,7.9,0.6,N,38,WNW,WSW,8,10,58,80,1015.9,1006.6,8,7,35.4,35.8,Yes,Yes
2018-04-28,Ahmedabad,10.2,19.6,18.4,1.6,5.7,SSW,45,NW,SSE,11,19,59,71,1015.9,1024.8,NA,7,18.4,16.4,Yes,Yes
2029-04-17,Hyderabad,21.2,30.7,6.1,11.4,4.4,W,47,NE,NW,9,15,78,83,1024.2,1020.6,5,7,27.6,22.2,Yes,No
2014-09-02,Bangalore,17.4,31.8,5.3,0.9,NA,N,32,NNW,NNW,16,9,98,53,1006.6,1015.0,7,8,25.4,26.0,Yes,Yes
2023-04-30,Mumbai,14.0,21.6,5.2,5.0,1.2,E,29,NNE,SSW,19,13,70,75,1011.7,1017.6,8,NA,21.3,15.4,Yes,Yes
2015-11-04,Ahmedabad,26.1,38.0,10.1,0.3,1.3,S,41,WNW,SW,6,16,65,51,1024.2,1009.8,8,6,31.1,34.2,Yes,Yes
2020-03-06,Pune,26.5,35.4,1.5,NA,6.3,NW,20,ESE,NNE,9,14,61,54,1006.5,1014.7,7,5,34.4,34.1,Yes,No
2010-09-18,Lucknow,23.4,29.6,11.5,1.5,5.7,WNW,22,SSW,N,19,17,57,34,1018.6,1009.0,6,2,24.3,28.0,Yes,No
2033-09-01,Mumbai,21.3,35.7,7.0,6.7,NA,S,47,NW,SSE,11,12,50,83,1014.8,1009.2,1,8,29.8,31.0,Yes,Yes
2026-05-14,Hyderabad,20.9,27.3,4.2,NA,0.7,NNW,25,NNE,ESE,5,10,94,61,1007.8,1008.2,NA,5,21.7,27.2,Yes,No
2028-09-04,Pune,10.1,16.3,13.1,10.4,2.5,WSW,28,NW,NE,5,17,98,40,1012.1,1022.3,2,2,12.6,16.2,Yes,No
2032-06-18,Pune,23.1,31.0,9.6,3.6,6.8,S,27,NNW,SE,19,6,63,56,1024.9,1016.0,2,NA,30.4,28.0,Yes,Yes
2011-05-30,Hyderabad,28.1,38.4,12.1,NA,0.7,SW,26,NE,NNE,9,18,93,84,1016.9,1021.4,0,5,34.1,36.0,Yes,No
2033-01-05,Pune,18.3,23.4,16.6,5.7,NA,S,47,N,NE,8,7,94,36,1018.7,1012.5,NA,1,23.2,21.2,Yes,Yes
2017-05-02,Hyderabad,26.4,40.7,10.2,7.0,NA,NNW,48,SW,NE,10,17,75,42,1012.8,1014.6,NA,1,39.3,32.0,Yes,Yes
2008-03-13,Mumbai,29.2,35.6,2.9,10.6,2.7,SSW,45,ESE,E,5,14,77,59,1022.9,1014.4,8,0,33.3,32.6,Yes,No
2024-06-22,Jaipur,21.4,26.8,3.5,7.7,10.7,N,46,S,ESE,12,16,76,33,1016.7,1014.3,3,NA,22.4,26.1,Yes,Yes
2016-09-27,Delhi,19.3,24.6,10.3,9.4,10.9,NE,26,WNW,N,7,15,98,72,1019.1,1006.1,NA,NA,24.6,19.9,Yes,No
2032-01-22,Bangalore,14.5,28.0,18.4,NA,9.7,NE,46,NNW,ENE,10,16,95,35,1019.9,1012.5,6,0,17.4,21.0,Yes,No
2026-08-21,Pune,14.1,25.5,0.8,6.2,NA,E,25,NW,NNE,17,9,76,40,1005.1,1006.5,5,NA,19.2,24.6,Yes,Yes
2029-05-12,Pune,18.5,32.6,0.6,1.0,9.2,SSW,27,WSW,WSW,12,16,86,63,1016.6,1014.9,7,NA,20.3,20.1,Yes,Yes
2022-11-16,Ahmedabad,25.8,36.7,2.5,0.1,6.6,NE,32,ENE,ENE,9,7,87,57,1021.1,1012.5,8,1,33.5,28.4,Yes,Yes
2030-12-12,Delhi,16.5,25.0,4.5,8.1,6.2,E,47,W,SE,8,12,86,51,1014.7,1008.8,8,4,21.8,19.9,Yes,No
2030-11-26,Mumbai,24.7,39.5,13.1,2.8,1.9,SE,34,ENE,ENE,17,15,52,69,1018.5,1017.4,2,NA,27.6,27.3,Yes,No
2028-09-10,Pune,11.4,26.0,15.3,NA,5.4,SSW,49,NNE,SSW,8,7,52,30,1020.3,1006.9,NA,5,15.1,20.4,Yes,Yes
2019-02-03,Bangalore,23.8,30.7,19.7,0.6,7.0,WNW,38,SSE,S,20,13,85,76,1005.7,1015.7,NA,6,23.9,28.5,Yes,No
2009-04-08,Bangalore,16.0,29.9,3.7,14.7,2.0,WNW,24,SW,ENE,15,9,96,86,1009.6,1023.3,1,NA,18.0,16.6,Yes,No
2032-07-20,Delhi,13.7,26.3,20.0,0.5,6.8,SW,44,WNW,NNE,5,9,95,87,1012.9,1017.9,NA,2,17.9,19.8,Yes,No
2010-05-28,Ahmedabad,17.7,26.1,12.5,NA,7.7,NNE,41,NE,S,19,8,62,64,1023.8,1018.3,7,NA,21.6,19.0,Yes,Yes
2017-02-12,Delhi,23.0,28.1,2.8,9.4,NA,NNE,34,NE,SSW,20,8,73,55,1019.8,1010.0,NA,NA,25.7,25.0,Yes,Yes
2031-01-01,Lucknow,20.1,29.4,1.1,NA,5.3,SE,50,ESE,ENE,16,14,78,55,1018.1,1009.0,2,7,26.7,23.5,Yes,No
2023-07-28,Chennai,21.0,29.5,1.2,NA,6.3,SE,25,SSE,SSE,18,6,66,87,1020.0,1013.8,5,1,22.2,22.8,Yes,No
2008-03-02,Delhi,12.5,23.1,7.7,7.1,2.1,WNW,33,SE,SW,5,16,57,81,1016.7,1020.0,NA,7,18.8,21.8,Yes,No
2019-11-13,Pune,10.7,22.5,12.5,2.6,3.6,W,28,S,W,7,20,76,73,1018.3,1009.4,NA,4,11.8,20.7,Yes,Yes
2028-02-18,Lucknow,20.8,30.5,17.7,13.6,NA,ESE,48,WNW,ENE,9,18,74,70,1017.5,1022.0,3,5,21.2,23.0,Yes,Yes
2019-09-11,Kolkata,15.8,28.8,5.8,NA,11.0,ENE,34,E,ESE,10,18,77,60,1017.6,1008.3,7,3,21.0,20.0,Yes,No
2030-07-09,Lucknow,24.9,36.2,11.2,10.8,8.2,NNW,40,SSE,WNW,6,19,50,46,1009.3,1011.7,2,NA,31.7,27.3,Yes,No
2015-07-15,Pune,12.8,18.5,1.2,2.4,4.0,WNW,23,NNW,NW,10,16,51,33,1017.8,1014.9,5,7,14.2,13.9,Yes,Yes
2028-01-26,Pune,16.7,23.1,16.5,1.9,0.7,NNW,22,ENE,ENE,14,18,86,43,1020.4,1014.6,0,3,21.1,19.9,Yes,No
2028-08-14,Jaipur,10.5,23.8,16.2,7.3,11.2,N,48,SSE,SSE,10,15,78,34,1009.1,1010.4,7,8,19.7,22.9,Yes,No
2019-10-24,Hyderabad,14.2,22.7,18.7,8.7,6.6,E,42,E,WSW,8,18,66,59,1013.7,1020.5,NA,3,19.7,20.6,Yes,Yes
2017-08-24,Hyderabad,23.9,38.0,15.9,NA,10.7,SE,49,NNW,SE,8,17,54,53,1005.4,1010.2,1,1,24.0,34.0,Yes,No
2032-06-15,Hyderabad,28.8,42.4,5.2,8.3,2.3,ENE,46,N,W,16,8,78,51,1006.0,1019.8,1,4,37.2,31.3,Yes,Yes
2029-08-10,Mumbai,26.3,33.6,14.6,8.2,6.4,SSW,26,WNW,S,6,14,79,83,1017.2,1023.2,8,1,27.4,26.4,Yes,No
2032-05-04,Kolkata,23.1,33.8,11.3,1.3,11.6,S,41,N,NNW,5,17,88,76,1011.3,1022.1,0,2,32.8,27.7,Yes,Yes
2025-02-12,Mumbai,10.2,20.2,11.8,0.7,11.0,WSW,46,S,E,9,16,57,35,1015.0,1009.1,6,NA,14.0,15.4,Yes,No
2023-02-14,Lucknow,27.2,33.9,16.7,7.0,NA,E,37,SSW,WNW,10,14,77,66,1005.9,1014.4,NA,8,27.8,29.4,Yes,Yes
2026-08-01,Bangalore,24.8,38.8,12.3,NA,NA,ESE,32,SW,SE,8,20,66,52,1021.7,1018.9,2,NA,27.0,29.2,Yes,No
2020-04-26,Hyderabad,13.9,26.2,9.0,4.0,3.9,NNE,22,S,SSW,9,18,81,53,1022.9,1019.4,NA,7,17.5,19.0,Yes,No
2023-01-04,Pune,22.9,34.0,17.8,NA,4.9,NE,28,ENE,WSW,11,17,70,89,1023.7,1009.5,0,4,32.3,30.3,Yes,Yes
2029-12-29,Pune,12.9,23.7,18.7,12.1,0.7,NE,22,SSW,ENE,10,13,50,40,1022.4,1018.4,3,5,21.0,16.3,Yes,No
2021-04-27,Kolkata,24.5,32.7,13.4,2.3,8.3,WNW,39,NW,SW,12,15,63,73,1024.4,1013.8,5,4,24.5,28.7,Yes,Yes
2009-01-20,Kolkata,10.7,25.0,7.7,13.4,NA,WSW,46,W,N,5,6,78,71,1018.6,1016.8,4,1,11.9,13.3,Yes,Yes
2031-12-18,Mumbai,18.2,26.5,7.6,2.7,NA,S,44,NE,E,16,17,88,88,1024.3,1024.6,NA,NA,20.1,21.2,Yes,No
2010-03-29,Chennai,28.3,36.1,4.9,12.8,3.8,E,35,WNW,NNW,10,5,85,30,1021.8,1014.5,1,4,30.2,35.3,Yes,Yes
2029-06-09,Jaipur,25.1,32.2,16.8,NA,0.9,SW,21,S,SW,13,16,93,90,1005.3,1006.1,3,1,29.1,30.3,Yes,No
2024-12-05,Jaipur,27.6,39.3,4.4,8.8,4.9,ENE,48,W,ESE,17,12,73,89,1010.0,1011.1,NA,1,28.1,35.9,Yes,No
2026-10-19,Kolkata,25.4,34.6,8.0,1.6,5.4,SW,26,SSW,WNW,15,10,74,83,1007.3,1008.5,2,4,26.5,27.8,Yes,Yes
