Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Date_month
10,22.5,27.9,1.5,9.3,4.5,10,37.0,8,9,9,11.0,76,39,1021.1,1013.2,8.0,8.0,23.6,26.0,True,False,3
2,13.7,22.8,1.5,14.1,11.3,10,29.0,5,2,12,15.0,67,79,1019.8,1012.4,3.0,1.0,21.0,19.2,True,False,7
6,10.9,24.6,1.5,14.6,7.9,12,47.0,10,1,13,6.0,65,83,1011.5,1007.0,4.0,7.0,16.0,11.7,True,False,11
10,20.1,34.4,1.5,0.8,2.2,5,45.0,2,13,20,11.0,97,45,1017.5,1017.0,3.0,7.0,32.8,24.7,True,False,7
5,24.3,38.9,1.5,3.7,3.9,13,25.0,12,6,16,5.0,99,65,1009.6,1019.6,3.0,5.0,35.3,37.5,True,False,6
10,28.8,37.4,1.5,8.5,11.2,2,48.0,10,6,16,15.0,72,62,1013.6,1023.1,7.0,8.0,30.4,29.2,True,False,11
7,19.8,32.1,1.5,12.6,9.9,7,46.0,1,12,12,17.0,56,49,1017.6,1013.7,5.0,8.0,28.6,22.1,True,False,8
6,19.1,34.1,1.5,12.9,3.3,11,46.0,14,4,10,10.0,97,83,1021.9,1010.9,3.0,0.0,25.9,30.7,True,False,1
10,11.4,19.5,1.5,7.0,5.2,7,41.0,14,14,18,10.0,72,62,1014.6,1006.8,4.0,5.0,15.8,12.2,True,False,12
7,13.2,20.8,1.5,14.4,5.4,11,47.0,13,10,17,6.0,58,33,1024.3,1006.2,6.0,8.0,18.2,13.6,True,False,9
7,20.1,26.1,1.5,5.8,7.8,4,34.0,3,15,20,5.0,78,32,1023.1,1023.9,3.0,7.0,24.4,22.9,True,False,8
1,11.7,26.4,1.5,1.9,5.8,10,24.0,0,3,7,11.0,74,58,1016.7,1010.3,5.0,6.0,15.6,24.9,True,False,6
1,12.4,21.1,1.5,7.9,8.4,3,30.0,12,8,18,19.0,73,72,1015.5,1017.1,1.0,5.0,12.6,16.2,True,False,7
7,15.9,24.6,1.5,0.9,2.2,11,32.0,10,3,12,19.0,99,38,1013.6,1017.8,7.0,4.0,22.0,18.5,True,False,12
4,11.3,19.2,1.5,11.0,7.7,8,49.0,7,7,14,20.0,75,43,1012.8,1014.6,0.0,4.0,18.5,13.3,True,False,8
1,18.1,23.1,1.5,1.9,4.1,2,32.0,8,7,11,20.0,100,43,1011.9,1022.2,2.0,6.0,19.8,18.4,True,False,6
6,27.5,42.0,1.5,8.1,10.5,6,31.0,3,12,20,8.0,91,67,1024.8,1020.6,4.0,4.0,35.3,40.45,True,False,9
5,28.1,40.9,0.6,10.5,3.3,14,38.0,5,10,13,12.0,77,45,1024.6,1005.9,3.0,4.0,29.8,29.5,True,False,1
6,13.2,23.8,1.5,6.0,4.8,11,34.0,5,3,16,16.0,88,89,1010.0,1020.6,1.0,0.0,20.8,17.5,True,False,11
1,14.2,22.3,1.5,5.1,1.4,15,41.0,0,9,10,7.0,66,30,1014.2,1009.5,2.0,0.0,19.8,19.7,True,False,9
10,13.6,26.2,1.5,0.4,6.3,9,42.0,12,14,9,11.0,52,57,1009.6,1019.4,7.0,4.0,19.8,21.9,True,False,7
1,23.6,38.6,1.5,2.7,8.5,0,30.0,10,12,11,16.0,77,80,1006.9,1012.6,0.0,2.0,28.1,32.3,True,False,8
6,24.4,30.8,1.5,1.4,9.5,0,24.0,8,11,10,17.0,79,51,1017.3,1017.8,0.0,8.0,29.0,28.7,True,False,1
5,12.8,19.7,1.5,0.9,0.7,6,32.0,1,15,12,13.0,65,77,1005.2,1014.3,1.0,3.0,17.7,19.3,True,False,7
5,26.3,32.4,1.5,3.3,0.8,8,20.0,6,8,19,15.0,64,68,1010.6,1015.1,3.0,6.0,31.6,29.6,True,False,1
5,19.1,31.0,1.5,12.0,8.8,1,31.0,3,7,18,13.0,89,44,1018.1,1021.4,1.0,3.0,28.2,21.4,True,False,8
4,12.4,18.2,1.5,4.6,8.4,5,26.0,5,13,19,20.0,93,90,1017.1,1010.9,6.0,6.0,15.3,17.8,True,False,2
3,17.6,29.8,1.5,2.5,5.6,15,36.0,6,0,9,19.0,58,58,1017.3,1007.8,1.0,5.0,23.5,21.4,True,False,3
6,21.2,30.7,1.5,11.4,4.4,4,47.0,9,0,9,15.0,78,83,1024.2,1020.6,5.0,7.0,27.6,22.2,True,False,4
8,26.5,35.4,1.5,8.2,6.3,1,20.0,14,5,9,14.0,61,54,1006.5,1014.7,7.0,5.0,34.4,34.1,True,False,3
10,23.4,29.6,1.5,1.5,5.7,2,22.0,8,2,19,17.0,57,34,1018.6,1009.0,6.0,2.0,24.3,28.0,True,False,9
6,20.9,27.3,1.5,5.0,0.7,0,25.0,3,15,5,10.0,94,61,1007.8,1008.2,5.0,5.0,21.7,27.2,True,False,5
8,10.1,16.3,1.5,10.4,2.5,5,28.0,2,11,5,17.0,98,40,1012.1,1022.3,2.0,2.0,12.6,16.2,True,False,9
6,28.1,38.4,1.5,12.6,0.7,9,26.0,9,5,9,18.0,93,84,1016.9,1021.4,0.0,5.0,34.1,36.0,True,False,5
2,29.2,35.6,1.5,10.6,2.7,8,45.0,14,14,5,14.0,77,59,1022.9,1014.4,8.0,0.0,33.3,32.6,True,False,3
1,19.3,24.6,1.5,9.4,10.9,11,26.0,4,2,7,15.0,98,72,1019.1,1006.1,0.0,3.0,24.6,19.9,True,False,9
3,14.5,28.0,1.5,7.4,9.7,11,46.0,0,13,10,16.0,95,35,1019.9,1012.5,6.0,0.0,17.4,21.0,True,False,1
1,16.5,25.0,1.5,8.1,6.2,15,47.0,5,10,8,12.0,86,51,1014.7,1008.8,8.0,4.0,21.8,19.9,True,False,12
2,24.7,39.5,1.5,2.8,1.9,12,34.0,12,13,17,15.0,52,69,1018.5,1017.4,2.0,5.0,27.6,27.3,True,False,11
3,23.8,30.7,1.5,0.6,7.0,2,38.0,11,8,20,13.0,85,76,1005.7,1015.7,6.0,6.0,23.9,28.5,True,False,2
3,16.0,29.9,1.5,14.6,2.0,2,24.0,7,13,15,9.0,96,86,1009.6,1023.3,1.0,7.0,18.0,16.6,True,False,4
1,13.7,26.3,1.5,0.5,6.8,9,44.0,4,5,5,9.0,95,87,1012.9,1017.9,1.0,2.0,17.9,19.8,True,False,7
10,20.1,29.4,1.1,11.0,5.3,12,50.0,14,13,16,14.0,78,55,1018.1,1009.0,2.0,7.0,26.7,23.5,True,False,1
4,21.0,29.5,1.2,9.1,6.3,12,25.0,11,12,18,6.0,66,87,1020.0,1013.8,5.0,1.0,22.2,22.8,True,False,7
1,12.5,23.1,1.5,7.1,2.1,2,33.0,13,9,5,16.0,57,81,1016.7,1020.0,3.0,7.0,18.8,21.8,True,False,3
5,15.8,28.8,1.5,6.9,11.0,14,34.0,15,15,10,18.0,77,60,1017.6,1008.3,7.0,3.0,21.0,20.0,True,False,9
10,24.9,36.2,1.5,10.8,8.2,0,40.0,11,3,6,19.0,50,46,1009.3,1011.7,2.0,5.0,31.7,27.3,True,False,7
8,16.7,23.1,1.5,1.9,0.7,0,22.0,12,13,14,18.0,86,43,1020.4,1014.6,0.0,3.0,21.1,19.9,True,False,1
9,10.5,23.8,1.5,7.3,11.2,3,48.0,11,12,10,15.0,78,34,1009.1,1010.4,7.0,8.0,19.7,22.9,True,False,8
6,23.9,38.0,1.5,13.1,10.7,12,49.0,0,10,8,17.0,54,53,1005.4,1010.2,1.0,1.0,24.0,34.0,True,False,8
2,26.3,33.6,1.5,8.2,6.4,8,26.0,4,8,6,14.0,79,83,1017.2,1023.2,8.0,1.0,27.4,26.4,True,False,8
2,10.2,20.2,1.5,0.7,11.0,5,46.0,10,14,9,16.0,57,35,1015.0,1009.1,6.0,2.0,14.0,15.4,True,False,2
3,24.8,38.8,1.5,13.4,8.5,13,32.0,7,10,8,20.0,66,52,1021.7,1018.9,2.0,2.0,27.0,29.2,True,False,8
6,13.9,26.2,1.5,4.0,3.9,6,22.0,10,7,9,18.0,81,53,1022.9,1019.4,5.0,7.0,17.5,19.0,True,False,4
8,12.9,23.7,1.5,12.1,0.7,11,22.0,8,13,10,13.0,50,40,1022.4,1018.4,3.0,5.0,21.0,16.3,True,False,12
2,18.2,26.5,1.5,2.7,0.2,7,44.0,9,14,16,17.0,88,88,1024.3,1024.6,5.0,0.0,20.1,21.2,True,False,12
9,25.1,32.2,1.5,4.0,0.9,9,21.0,10,9,13,16.0,93,90,1005.3,1006.1,3.0,1.0,29.1,30.3,True,False,6
9,27.6,39.3,1.5,8.8,4.9,14,48.0,5,15,17,12.0,73,89,1010.0,1011.1,3.0,1.0,28.1,35.9,True,False,12
5,25.4,36.9,1.5,5.8,11.7,6,35.0,0,11,6,12.0,59,70,1008.8,1010.5,4.0,4.0,30.0,27.6,True,False,11
6,13.7,28.2,1.5,9.5,3.3,5,36.0,4,12,19,18.0,74,89,1013.2,1006.8,2.0,4.0,23.3,16.0,True,False,5
1,12.2,24.7,1.5,4.5,10.0,14,45.0,1,7,17,5.0,66,35,1007.8,1010.0,8.0,0.0,24.4,21.2,True,False,3
4,24.7,37.4,1.5,9.1,12.0,10,35.0,3,8,17,15.0,79,75,1010.2,1021.8,2.0,8.0,28.3,25.6,True,False,4
3,10.7,17.0,1.5,1.3,0.4,10,32.0,1,6,20,12.0,98,56,1023.1,1020.6,2.0,0.0,11.1,15.2,True,False,4
9,28.1,34.8,1.5,1.3,6.4,4,40.0,2,9,14,15.0,62,57,1023.4,1012.1,2.0,7.0,31.9,34.6,True,False,10
5,12.3,22.7,1.5,5.7,9.8,15,38.0,0,6,8,5.0,91,32,1016.1,1018.2,3.0,1.0,22.2,16.0,True,False,10
1,26.9,35.7,1.5,10.7,2.1,2,45.0,11,4,17,15.0,100,76,1008.8,1011.1,1.0,7.0,34.5,35.6,True,False,12
7,25.4,40.4,1.5,0.3,10.2,3,26.0,15,5,8,15.0,94,55,1011.5,1023.5,3.0,8.0,28.0,36.8,True,False,1
2,13.5,24.4,1.5,8.4,11.4,14,48.0,5,0,5,18.0,66,46,1023.4,1024.9,2.0,2.0,20.1,15.1,True,False,8
7,24.6,33.7,1.5,13.8,0.4,0,28.0,13,5,10,18.0,73,46,1008.6,1022.3,4.0,2.0,30.7,31.2,True,False,1
7,18.7,28.1,1.5,5.1,4.4,4,31.0,0,1,13,15.0,89,73,1021.2,1016.8,5.0,3.0,19.0,26.2,True,False,5
9,28.9,42.2,1.5,8.0,3.1,2,40.0,14,3,17,5.0,59,89,1013.6,1016.0,3.0,2.0,35.3,36.4,True,False,2
7,13.1,27.4,1.5,0.3,2.2,3,45.0,3,0,20,12.0,58,77,1005.7,1023.4,2.0,1.0,25.4,20.2,True,False,11
6,27.3,37.3,1.5,7.4,0.3,5,27.0,5,5,13,14.0,80,38,1005.6,1009.4,8.0,0.0,28.4,28.7,True,False,8
9,20.6,30.0,1.5,14.1,5.8,3,37.0,8,6,5,17.0,62,41,1015.0,1007.4,8.0,6.0,22.3,27.9,True,False,4
5,29.1,36.5,1.5,10.7,6.9,7,34.0,10,7,15,10.0,85,43,1021.1,1023.6,8.0,4.0,29.8,36.3,True,False,11
5,10.3,16.8,1.5,0.9,10.3,12,44.0,7,14,7,5.0,99,81,1019.7,1015.1,4.0,6.0,11.7,15.2,True,False,12
6,19.2,31.7,0.9,9.6,2.2,6,30.0,5,13,19,16.0,86,68,1018.0,1024.3,0.0,2.0,25.8,20.7,True,False,10
5,28.5,39.3,1.5,2.9,8.1,7,49.0,3,15,15,5.0,54,46,1008.1,1019.8,2.0,2.0,31.8,31.1,True,False,4
6,27.7,35.0,0.8,11.1,0.5,8,50.0,9,12,10,20.0,87,82,1017.0,1012.9,7.0,4.0,28.7,29.3,True,False,12
1,20.8,35.7,1.5,9.2,8.8,11,29.0,14,8,15,20.0,91,57,1010.3,1016.4,2.0,2.0,33.3,27.0,True,False,10
7,19.3,33.2,1.5,0.2,10.6,7,48.0,4,9,8,16.0,76,49,1006.4,1019.3,0.0,7.0,19.4,20.3,True,False,5
5,27.4,34.1,1.5,5.7,0.2,4,37.0,3,6,13,19.0,52,49,1013.3,1010.2,7.0,6.0,29.4,31.4,True,False,4
8,21.6,34.3,0.6,11.9,1.0,10,42.0,7,10,6,8.0,72,50,1006.0,1022.9,7.0,8.0,25.2,29.7,True,False,1
6,19.3,31.4,1.5,2.4,7.9,9,22.0,4,6,11,17.0,76,52,1008.8,1015.4,8.0,0.0,29.6,25.7,True,False,8
10,10.1,15.5,1.5,0.5,2.0,12,23.0,8,3,12,6.0,85,74,1024.7,1006.7,6.0,2.0,13.8,14.8,True,False,10
7,25.5,31.6,1.5,12.9,3.6,2,47.0,10,3,8,15.0,56,40,1005.6,1011.4,4.0,8.0,25.5,28.8,True,False,6
7,25.0,39.7,0.3,4.2,3.4,10,27.0,9,1,5,13.0,53,76,1008.8,1010.5,5.0,2.0,34.2,32.0,True,False,10
2,14.3,26.6,1.5,4.1,9.0,10,27.0,6,4,17,18.0,85,48,1011.8,1018.7,3.0,0.0,17.8,26.1,True,False,10
9,16.5,23.9,1.5,14.6,5.4,8,22.0,0,0,12,9.0,81,51,1009.8,1014.2,1.0,5.0,17.7,16.7,True,False,1
9,12.2,18.5,1.5,13.6,6.8,11,23.0,2,12,6,7.0,87,48,1014.3,1009.0,7.0,0.0,14.2,12.3,True,False,9
6,12.7,20.7,1.5,3.5,8.9,13,49.0,4,13,11,12.0,54,47,1008.0,1016.9,7.0,6.0,17.9,14.2,True,False,1
1,11.3,21.0,1.5,9.5,7.0,11,22.0,12,2,5,20.0,95,59,1005.7,1023.0,4.0,7.0,20.7,14.8,True,False,8
5,28.1,41.3,0.1,13.8,7.2,2,31.0,3,7,16,5.0,97,51,1019.2,1023.8,8.0,3.0,35.1,39.7,True,False,11
1,27.8,35.6,0.9,5.3,2.4,5,34.0,2,0,5,10.0,66,87,1008.3,1010.4,2.0,7.0,30.6,33.3,True,False,11
2,26.2,38.5,1.5,2.1,10.0,5,28.0,6,6,20,19.0,78,81,1014.3,1024.8,3.0,4.0,27.1,31.5,True,False,6
7,26.2,37.9,1.5,7.8,11.3,13,36.0,4,5,19,8.0,61,65,1018.6,1006.5,6.0,2.0,35.3,35.2,True,False,4
2,16.2,30.6,1.5,5.4,5.6,14,39.0,1,4,10,5.0,63,70,1020.4,1008.1,4.0,4.0,21.5,26.4,True,False,9
6,14.9,22.9,1.5,3.4,4.2,2,33.0,2,14,7,11.0,63,46,1011.1,1011.9,7.0,0.0,15.5,20.4,True,False,8
7,19.6,27.1,1.5,2.5,5.0,3,34.0,4,7,11,17.0,96,50,1015.7,1024.5,3.0,3.0,22.0,25.4,True,False,5
3,25.0,38.7,1.5,8.6,1.2,4,45.0,1,13,7,19.0,58,59,1024.5,1012.7,1.0,1.0,34.0,31.9,True,False,12
1,21.0,35.7,1.5,6.7,7.6,14,25.0,14,15,17,7.0,97,46,1009.6,1011.8,2.0,5.0,35.3,34.7,True,False,10
3,27.9,40.3,1.5,11.4,3.4,3,48.0,5,1,12,11.0,62,72,1008.5,1005.3,2.0,6.0,35.3,29.4,True,False,1
10,21.4,32.9,1.5,4.0,8.5,6,22.0,1,14,16,15.0,83,68,1005.2,1005.1,1.0,6.0,31.3,26.0,True,False,7
4,16.7,29.4,1.5,1.6,3.6,6,39.0,0,15,10,5.0,70,32,1022.3,1023.3,3.0,2.0,17.9,22.7,True,False,1
10,28.5,38.4,1.5,13.1,5.1,0,35.0,4,4,13,13.0,58,79,1015.8,1021.4,5.0,6.0,30.0,37.2,True,False,3
8,17.8,27.7,1.5,1.7,1.9,1,21.0,14,3,15,8.0,53,73,1008.4,1021.8,4.0,6.0,19.2,25.9,True,False,5
3,15.6,23.2,1.5,9.5,4.1,7,23.0,0,15,16,5.0,88,70,1011.6,1017.0,5.0,6.0,20.3,22.1,True,False,8
2,13.0,25.4,1.5,7.6,1.2,2,26.0,8,11,14,16.0,68,54,1022.6,1016.0,0.0,1.0,19.1,15.8,True,False,12
4,18.5,26.6,1.0,7.3,10.6,9,21.0,2,15,11,16.0,81,38,1006.9,1019.7,3.0,5.0,23.5,25.1,True,False,7
7,12.6,19.5,1.5,11.8,9.7,11,47.0,9,7,15,5.0,75,81,1022.1,1017.3,7.0,2.0,14.6,15.7,True,False,12
8,12.9,26.8,1.5,0.6,11.1,12,23.0,0,1,7,20.0,77,62,1008.0,1020.0,8.0,0.0,15.4,25.2,True,False,3
6,24.7,34.0,1.5,2.0,10.9,0,29.0,2,4,16,14.0,59,48,1008.4,1007.7,7.0,0.0,33.9,32.8,True,False,1
2,19.9,34.7,1.5,0.6,0.7,7,46.0,11,5,18,8.0,94,57,1022.2,1021.8,6.0,2.0,19.9,31.4,True,False,5
2,12.0,18.0,0.2,10.1,0.1,7,34.0,3,0,8,8.0,68,67,1011.8,1010.1,3.0,7.0,13.2,13.1,True,False,10
1,16.7,24.4,1.5,3.6,11.7,4,34.0,3,6,10,11.0,65,90,1008.9,1017.7,2.0,6.0,16.7,22.4,True,False,12
6,29.8,38.5,1.5,12.9,3.0,10,40.0,7,2,20,19.0,86,76,1020.7,1005.2,2.0,3.0,32.0,31.4,True,False,11
7,16.5,27.7,1.5,14.1,10.8,0,24.0,7,15,5,5.0,53,41,1020.1,1013.1,8.0,4.0,27.2,26.3,True,False,11
3,17.3,27.8,1.5,12.1,2.5,4,49.0,9,5,16,20.0,82,45,1020.1,1014.6,5.0,0.0,22.5,25.0,True,False,12
9,27.2,39.2,1.5,7.0,2.5,1,31.0,4,7,11,11.0,84,57,1008.0,1012.9,0.0,6.0,31.0,35.7,True,False,7
2,20.5,25.9,1.5,14.6,5.9,7,28.0,9,12,20,14.0,75,48,1017.4,1014.5,0.0,1.0,21.8,23.8,True,False,9
2,10.1,19.8,1.5,11.1,6.3,15,29.0,0,1,10,8.0,73,82,1019.2,1022.7,3.0,2.0,14.8,10.9,True,False,3
5,22.4,34.9,0.1,14.6,10.0,15,49.0,10,0,11,8.0,98,76,1016.1,1014.9,1.0,4.0,26.8,27.6,True,False,8
1,10.7,24.1,1.5,9.9,9.8,10,27.0,4,1,13,6.0,83,60,1011.6,1008.9,3.0,1.0,19.9,12.9,True,False,10
1,23.3,32.3,1.5,13.7,6.8,13,47.0,12,7,20,16.0,98,85,1009.5,1012.8,0.0,5.0,25.6,28.5,True,False,12
3,17.5,24.4,1.5,5.5,6.6,6,36.0,13,15,15,11.0,91,82,1011.4,1023.2,0.0,3.0,20.4,18.1,True,False,7
10,12.8,24.1,1.5,1.3,9.5,10,43.0,6,2,12,13.0,67,52,1009.1,1011.1,6.0,8.0,15.4,20.3,True,False,2
6,11.3,23.9,1.5,11.2,7.5,4,33.0,7,4,6,15.0,92,53,1014.9,1007.3,1.0,4.0,15.3,21.3,True,False,2
10,18.3,28.0,1.5,10.4,7.9,12,25.0,1,12,18,20.0,62,72,1014.6,1005.4,3.0,4.0,21.8,19.7,True,False,6
7,16.6,23.8,1.5,14.2,9.0,1,23.0,13,10,17,9.0,76,45,1011.0,1018.6,4.0,6.0,17.7,17.9,True,False,3
3,18.1,26.3,1.5,13.7,3.2,6,30.0,3,13,19,9.0,95,40,1023.4,1011.8,4.0,2.0,24.2,20.1,True,False,2
9,25.0,30.1,1.5,1.9,9.1,3,28.0,3,11,8,7.0,54,38,1015.7,1008.1,4.0,7.0,25.5,27.3,True,False,3
4,24.8,32.6,1.5,10.5,3.6,2,20.0,14,3,11,6.0,59,48,1023.3,1015.9,5.0,3.0,32.4,29.5,True,False,11
5,13.0,19.9,1.5,14.5,0.3,15,27.0,1,9,8,8.0,81,76,1005.5,1005.4,0.0,0.0,16.8,15.6,True,False,2
8,18.4,27.2,1.5,5.9,8.2,13,45.0,12,3,7,16.0,67,75,1007.1,1014.0,5.0,1.0,26.4,21.2,True,False,7
2,25.8,37.4,1.5,13.1,10.9,14,21.0,15,14,18,13.0,65,86,1017.2,1007.2,4.0,8.0,26.1,34.2,True,False,8
3,17.6,28.6,1.5,0.1,4.1,10,27.0,15,15,9,13.0,82,86,1016.0,1022.4,5.0,7.0,25.7,17.6,True,False,4
4,22.6,29.7,1.5,12.4,5.3,3,28.0,5,13,13,15.0,68,68,1008.8,1014.4,3.0,8.0,27.3,26.2,True,False,7
10,17.7,24.6,0.2,8.7,4.0,3,48.0,5,2,16,15.0,66,30,1024.6,1012.7,8.0,4.0,20.8,24.0,True,False,1
8,15.3,21.5,1.5,11.5,3.7,10,40.0,3,4,20,20.0,52,37,1016.1,1019.2,7.0,1.0,19.8,17.2,True,False,1
7,14.5,21.2,1.5,11.5,8.8,12,21.0,7,14,9,19.0,86,78,1008.8,1022.5,7.0,5.0,14.7,16.2,True,False,8
9,14.2,26.2,1.5,1.1,5.0,8,49.0,13,14,14,6.0,53,75,1005.4,1012.3,0.0,6.0,25.4,17.0,True,False,8
4,28.3,33.5,1.5,4.3,11.9,1,46.0,5,8,18,5.0,81,48,1018.9,1014.0,6.0,1.0,32.5,31.2,True,False,7
5,22.5,30.2,1.5,12.9,7.1,1,28.0,2,12,7,10.0,70,52,1020.5,1011.5,8.0,7.0,27.9,28.2,True,False,12
3,28.9,34.4,1.5,9.2,9.0,5,38.0,2,15,17,16.0,91,61,1009.1,1018.5,1.0,8.0,31.4,29.9,True,False,10
6,12.8,20.2,1.5,2.3,2.3,12,26.0,4,3,20,6.0,91,81,1005.9,1011.6,8.0,6.0,16.1,14.7,True,False,4
7,26.0,37.1,1.5,1.6,11.0,10,23.0,5,8,5,5.0,50,59,1005.2,1007.5,8.0,6.0,33.2,28.7,True,False,4
8,21.4,28.0,1.5,7.0,1.8,5,46.0,14,9,7,7.0,87,90,1008.7,1012.9,7.0,6.0,26.5,24.8,True,False,7
1,21.0,32.7,1.5,2.6,6.7,7,40.0,0,15,15,12.0,94,68,1005.8,1009.0,6.0,5.0,30.1,24.5,True,False,4
6,23.7,34.9,1.5,6.0,9.6,15,48.0,9,0,15,10.0,69,30,1015.3,1011.5,1.0,1.0,32.3,23.7,True,False,6
6,11.9,24.6,1.5,0.1,6.9,12,22.0,3,12,5,6.0,78,50,1016.3,1021.6,6.0,2.0,17.7,15.5,True,False,6
1,19.1,30.4,1.5,6.5,1.9,14,46.0,8,10,18,12.0,72,37,1023.2,1019.7,7.0,5.0,25.2,19.4,True,False,3
9,22.7,34.3,1.5,12.4,2.5,5,20.0,7,15,10,9.0,63,44,1017.7,1019.1,1.0,4.0,24.3,29.3,True,False,2
